systemTime,ipAddress,clusterHeadSelector,multiPointRelaySelector,linkCost,linkQuality,neighborLinkQuality,RSSI value,AVG RSSI value,Connected
1669720488,10.79.141.18,FALSE,FALSE,1.795898,1,1,-33,-31,1
1669720490,10.79.141.18,FALSE,FALSE,1.795898,1,1,-28,-30,1
1669720492,10.79.141.18,FALSE,FALSE,1.795898,1,1,-48,-32,1
1669720494,10.79.141.18,FALSE,FALSE,1.795898,1,1,-48,-38,1
1669720496,10.79.141.18,FALSE,FALSE,1.795898,1,1,-39,-38,1
1669720498,10.79.141.18,FALSE,FALSE,1.795898,1,1,-38,-37,1
1669720501,10.79.141.18,FALSE,FALSE,1.795898,1,1,-41,-39,1
1669720503,10.79.141.18,FALSE,FALSE,1.795898,1,1,-44,-41,1
1669720505,10.79.141.18,FALSE,FALSE,1.795898,1,1,-45,-42,1
1669720507,10.79.141.18,FALSE,FALSE,1.795898,1,1,-53,-46,1
1669720509,10.79.141.18,FALSE,FALSE,1.795898,1,1,-81,-58,1
1669720511,10.79.141.18,FALSE,FALSE,1.795898,1,1,-85,-64,1
1669720513,10.79.141.18,FALSE,FALSE,1.795898,1,1,-85,-64,1
1669720515,10.79.141.18,FALSE,FALSE,4194304,0,1,-85,-64,1
1669720518,10.79.141.18,FALSE,FALSE,4194304,0,1,-85,-64,1
1669720520,10.79.141.18,FALSE,FALSE,4194304,0,1,-85,-64,1
1669720522,10.79.141.18,FALSE,FALSE,4194304,0,1,-85,-64,1
1669720524,10.79.141.18,FALSE,FALSE,4194304,0,1,-85,-64,1
1669720526,10.79.141.18,FALSE,FALSE,4194304,0,1,-85,-64,1
1669720528,10.79.141.18,FALSE,FALSE,4194304,0,1,-85,-64,0
1669720543,10.79.141.18,FALSE,FALSE,4194304,0,0.098,-81,-70,1
1669720545,10.79.141.18,FALSE,FALSE,4194304,0,0.098,-81,-70,1
1669720547,10.79.141.18,FALSE,FALSE,4194304,0,0.098,-81,-70,1
1669720549,10.79.141.18,FALSE,FALSE,4194304,0,0.098,-81,-70,1
1669720551,10.79.141.18,FALSE,FALSE,4194304,0,0.098,-81,-70,1
1669720553,10.79.141.18,FALSE,FALSE,4194304,0,0.098,-81,-70,1
1669720555,10.79.141.18,FALSE,FALSE,4194304,0,0.098,-81,-70,1
1669720557,10.79.141.18,FALSE,FALSE,4194304,0,0.098,-81,-70,1
1669720560,10.79.141.18,FALSE,FALSE,4194304,0,0.098,-81,-70,1
1669720562,10.79.141.18,FALSE,FALSE,4194304,0,0.098,-81,-70,0
